"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 08 08:57:47 GMT 2023","Mon May 08 08:57:55 GMT 2023","7417","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","numberOfTeamMembers","Test number of team members","Test to see if there are six team members displayed on the page"
"passed","Mon May 08 08:57:46 GMT 2023","Mon May 08 08:57:54 GMT 2023","8026","","Multi Page list Tests","","com.codecool.vizsgaremek.functions.TestMultiPageList","gatherAllTitles","Titles gathered from multiple pages","Test to gather titles from multiple pages"
"passed","Mon May 08 08:57:45 GMT 2023","Mon May 08 08:57:51 GMT 2023","6310","","Multi Page list Tests","","com.codecool.vizsgaremek.functions.TestMultiPageList","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 08:57:42 GMT 2023","Mon May 08 08:57:48 GMT 2023","6453","","New Data Entry Tests","","com.codecool.vizsgaremek.functions.TestNewDataEntry","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 08:57:49 GMT 2023","Mon May 08 08:57:55 GMT 2023","6239","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","correctMembersDetails","Test details (name, occupation) of Team Members","Testing the name and occupation of each Team Member"
"passed","Mon May 08 08:57:44 GMT 2023","Mon May 08 08:57:56 GMT 2023","11468","","Existing Data Modification And Deletion Tests","","com.codecool.vizsgaremek.functions.TestExistingDataModificationAndDeletion","profileModification","Modify existing User profile","Test whether the user's profile is modifiable"
"failed","Mon May 08 08:57:44 GMT 2023","Mon May 08 08:57:54 GMT 2023","9740","","New Data Entry Tests","","com.codecool.vizsgaremek.functions.TestNewDataEntry","sendMessage","Send message test","Test to send a message on the Contact form"
"passed","Mon May 08 08:57:45 GMT 2023","Mon May 08 08:57:56 GMT 2023","11068","","Existing Data Modification And Deletion Tests","","com.codecool.vizsgaremek.functions.TestExistingDataModificationAndDeletion","deleteProfile","Delete existing User profile","Test whether the user's profile can be deleted"
"passed","Mon May 08 08:57:44 GMT 2023","Mon May 08 08:57:53 GMT 2023","9537","","Login and logout Tests","","com.codecool.vizsgaremek.functions.TestLoginAndLogout","logout","Test logout capabilities","Logout is possible"
"passed","Mon May 08 08:57:45 GMT 2023","Mon May 08 08:57:56 GMT 2023","10885","","Existing Data Modification And Deletion Tests","","com.codecool.vizsgaremek.functions.TestExistingDataModificationAndDeletion","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 08:57:44 GMT 2023","Mon May 08 08:57:47 GMT 2023","3446","","Terms and Conditions Tests","","com.codecool.vizsgaremek.functions.TestTermsAndConditions","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 08:57:46 GMT 2023","Mon May 08 08:57:51 GMT 2023","5423","","Write Data To File Tests","","com.codecool.vizsgaremek.functions.TestWriteDataToFile","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 08:57:45 GMT 2023","Mon May 08 08:57:51 GMT 2023","5487","","Registration Tests","","com.codecool.vizsgaremek.functions.TestRegistration","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 08:57:42 GMT 2023","Mon May 08 08:57:48 GMT 2023","5636","","Login and logout Tests","","com.codecool.vizsgaremek.functions.TestLoginAndLogout","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 08:57:42 GMT 2023","Mon May 08 08:57:50 GMT 2023","8401","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","verifyNavBarItems","Navbar contents test","The navbar contains all items specified, possible multilingual test"
"passed","Mon May 08 08:57:48 GMT 2023","Mon May 08 08:57:54 GMT 2023","5421","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 08:57:44 GMT 2023","Mon May 08 08:57:49 GMT 2023","4548","","Terms and Conditions Tests","","com.codecool.vizsgaremek.functions.TestTermsAndConditions","acceptTnC","The ""Terms and Conditions"" pop up can be accepted","The ""Terms and Conditions"" pop up can be accepted"
"passed","Mon May 08 08:57:44 GMT 2023","Mon May 08 08:57:53 GMT 2023","8782","","Login and logout Tests","","com.codecool.vizsgaremek.functions.TestLoginAndLogout","login","Test login capabilities","Login is possible"
"passed","Mon May 08 08:57:46 GMT 2023","Mon May 08 08:57:53 GMT 2023","6884","","Write Data To File Tests","","com.codecool.vizsgaremek.functions.TestWriteDataToFile","writeHeaderTextToFile","Content from page written to file","Content from the webpage is successfully written into a file"
"passed","Mon May 08 08:57:47 GMT 2023","Mon May 08 08:58:00 GMT 2023","13010","","Registration Tests","","com.codecool.vizsgaremek.functions.TestRegistration","multipleRegistration","Registration is possible","Registers multiple users from ""test_logins.yml"""
"passed","Mon May 08 08:57:44 GMT 2023","Mon May 08 08:57:48 GMT 2023","3425","","Terms and Conditions Tests","","com.codecool.vizsgaremek.functions.TestTermsAndConditions","tnCVisible","The ""Terms and Conditions"" pop up is displayed","The ""Terms and Conditions"" pop up is displayed"
