"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 07:33:34 GMT 2023","Sun Apr 16 07:33:39 GMT 2023","5292","","Registration and Login Tests","","cool.code.vizsgaremek.pages.RegistrationAndLoginTest","login","Login is possible","Login is possible"
"passed","Sun Apr 16 07:33:34 GMT 2023","Sun Apr 16 07:33:40 GMT 2023","6480","","Landing page Tests","","cool.code.vizsgaremek.pages.LandingTest","correctUrl","The correct URL is opened","The correct URL is opened"
"passed","Sun Apr 16 07:33:34 GMT 2023","Sun Apr 16 07:33:41 GMT 2023","6963","","Registration and Login Tests","","cool.code.vizsgaremek.pages.RegistrationAndLoginTest","registration","Registration is possible","Registration is possible"
"passed","Sun Apr 16 07:33:32 GMT 2023","Sun Apr 16 07:33:39 GMT 2023","7308","","Terms and Conditions Tests","","cool.code.vizsgaremek.pages.TermsAndConditionsTest","displayTnC","The ""Terms and Conditions"" pop up is displayed","The ""Terms and Conditions"" pop up is displayed"
"passed","Sun Apr 16 07:33:34 GMT 2023","Sun Apr 16 07:33:40 GMT 2023","6550","","Landing page Tests","","cool.code.vizsgaremek.pages.LandingTest","counterTitle","Counter section has correct title","Counter section has correct title"
"passed","Sun Apr 16 07:33:32 GMT 2023","Sun Apr 16 07:33:41 GMT 2023","8351","","Landing page Tests","","cool.code.vizsgaremek.pages.LandingTest","verifyNavBarItems","The navbar contains all items","The navbar contains all items"
"passed","Sun Apr 16 07:33:34 GMT 2023","Sun Apr 16 07:33:40 GMT 2023","6494","","Landing page Tests","","cool.code.vizsgaremek.pages.LandingTest","logout","The logged in user is able to log out","The logged in user is able to log out"
"passed","Sun Apr 16 07:33:34 GMT 2023","Sun Apr 16 07:33:40 GMT 2023","6694","","Landing page Tests","","cool.code.vizsgaremek.pages.LandingTest","introductionText","Introduction section has correct spelling","Introduction section has correct spelling"
"passed","Sun Apr 16 07:33:34 GMT 2023","Sun Apr 16 07:33:40 GMT 2023","6308","","Terms and Conditions Tests","","cool.code.vizsgaremek.pages.TermsAndConditionsTest","acceptTnC","The ""Terms and Conditions"" pop up can be accepted","The ""Terms and Conditions"" pop up can be accepted"
"passed","Sun Apr 16 07:33:32 GMT 2023","Sun Apr 16 07:33:37 GMT 2023","5133","","Registration and Login Tests","","cool.code.vizsgaremek.pages.RegistrationAndLoginTest","correctUrl","The correct URL is opened","The correct URL is opened"
