"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 08 18:43:32 GMT 2023","Mon May 08 18:43:37 GMT 2023","4716","","Registration Tests","","com.codecool.vizsgaremek.functions.TestRegistration","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 18:43:31 GMT 2023","Mon May 08 18:43:40 GMT 2023","8297","","Login and logout Tests","","com.codecool.vizsgaremek.functions.TestLoginAndLogout","logout","Test logout capabilities","Logout is possible"
"passed","Mon May 08 18:43:34 GMT 2023","Mon May 08 18:43:45 GMT 2023","11157","","Registration Tests","","com.codecool.vizsgaremek.functions.TestRegistration","multipleRegistration","Registration is possible","Registers multiple users from ""test_logins.yml"""
"passed","Mon May 08 18:43:36 GMT 2023","Mon May 08 18:43:41 GMT 2023","5158","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","correctMembersDetails","Test details (name, occupation) of Team Members","Testing the name and occupation of each Team Member"
"passed","Mon May 08 18:43:33 GMT 2023","Mon May 08 18:43:38 GMT 2023","5003","","Multi Page list Tests","","com.codecool.vizsgaremek.functions.TestMultiPageList","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 18:43:32 GMT 2023","Mon May 08 18:43:42 GMT 2023","9819","","Existing Data Modification And Deletion Tests","","com.codecool.vizsgaremek.functions.TestExistingDataModificationAndDeletion","deleteProfile","Delete existing User profile","Test whether the user's profile can be deleted"
"passed","Mon May 08 18:43:30 GMT 2023","Mon May 08 18:43:36 GMT 2023","5211","","Login and logout Tests","","com.codecool.vizsgaremek.functions.TestLoginAndLogout","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 18:43:32 GMT 2023","Mon May 08 18:43:39 GMT 2023","7838","","Login and logout Tests","","com.codecool.vizsgaremek.functions.TestLoginAndLogout","login","Test login capabilities","Login is possible"
"passed","Mon May 08 18:43:32 GMT 2023","Mon May 08 18:43:40 GMT 2023","8216","","New Data Entry Tests","","com.codecool.vizsgaremek.functions.TestNewDataEntry","sendMessage","Send message","Test to send a message on the Contact form"
"passed","Mon May 08 18:43:32 GMT 2023","Mon May 08 18:43:35 GMT 2023","2857","","Terms and Conditions Tests","","com.codecool.vizsgaremek.functions.TestTermsAndConditions","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 18:43:33 GMT 2023","Mon May 08 18:43:40 GMT 2023","7161","","Multi Page list Tests","","com.codecool.vizsgaremek.functions.TestMultiPageList","gatherAllTitles","Titles gathered from multiple pages","Test to gather titles from multiple pages"
"passed","Mon May 08 18:43:32 GMT 2023","Mon May 08 18:43:42 GMT 2023","10110","","Existing Data Modification And Deletion Tests","","com.codecool.vizsgaremek.functions.TestExistingDataModificationAndDeletion","profileModification","Modify existing User profile","Test whether the user's profile is modifiable"
"passed","Mon May 08 18:43:33 GMT 2023","Mon May 08 18:43:38 GMT 2023","5123","","Write Data To File Tests","","com.codecool.vizsgaremek.functions.TestWriteDataToFile","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 18:43:32 GMT 2023","Mon May 08 18:43:35 GMT 2023","3208","","Terms and Conditions Tests","","com.codecool.vizsgaremek.functions.TestTermsAndConditions","tnCVisible","The ""Terms and Conditions"" pop up is displayed","The ""Terms and Conditions"" pop up is displayed"
"passed","Mon May 08 18:43:30 GMT 2023","Mon May 08 18:43:37 GMT 2023","7323","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","verifyNavBarItems","Navbar contents test","The navbar contains all items specified, possible multilingual test"
"passed","Mon May 08 18:43:32 GMT 2023","Mon May 08 18:43:42 GMT 2023","9335","","Existing Data Modification And Deletion Tests","","com.codecool.vizsgaremek.functions.TestExistingDataModificationAndDeletion","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 18:43:32 GMT 2023","Mon May 08 18:43:36 GMT 2023","4096","","Terms and Conditions Tests","","com.codecool.vizsgaremek.functions.TestTermsAndConditions","acceptTnC","The ""Terms and Conditions"" pop up can be accepted","The ""Terms and Conditions"" pop up can be accepted"
"passed","Mon May 08 18:43:34 GMT 2023","Mon May 08 18:43:41 GMT 2023","6928","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","numberOfTeamMembers","Test number of team members","Test to see if there are six team members displayed on the page"
"passed","Mon May 08 18:43:33 GMT 2023","Mon May 08 18:43:39 GMT 2023","5926","","Write Data To File Tests","","com.codecool.vizsgaremek.functions.TestWriteDataToFile","writeHeaderTextToFile","Content from page written to file","Content from the webpage is successfully written into a file"
"passed","Mon May 08 18:43:35 GMT 2023","Mon May 08 18:43:39 GMT 2023","4640","","Data Listing Tests","","com.codecool.vizsgaremek.functions.TestDataListing","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
"passed","Mon May 08 18:43:30 GMT 2023","Mon May 08 18:43:36 GMT 2023","5921","","New Data Entry Tests","","com.codecool.vizsgaremek.functions.TestNewDataEntry","correctUrl","Test URL","Testing the URL of the test suite so that it is executed on the correct Page"
