"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 17:45:05 GMT 2023","Sat Apr 22 17:45:15 GMT 2023","10524","","Terms and Conditions Tests","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","acceptTnC","The ""Terms and Conditions"" pop up can be accepted","The ""Terms and Conditions"" pop up can be accepted"
"passed","Sat Apr 22 17:45:04 GMT 2023","Sat Apr 22 17:45:15 GMT 2023","10357","","Landing page Tests","","com.codecool.vizsgaremek.pages.LandingTest","counterTitle","Counter section has correct title","Counter section has correct title"
"passed","Sat Apr 22 17:45:01 GMT 2023","Sat Apr 22 17:45:12 GMT 2023","11879","","Registration and Login Tests","","com.codecool.vizsgaremek.pages.RegistrationAndLoginTest","correctUrl","The correct URL is opened","The correct URL is opened"
"passed","Sat Apr 22 17:45:01 GMT 2023","Sat Apr 22 17:45:15 GMT 2023","14374","","Landing page Tests","","com.codecool.vizsgaremek.pages.LandingTest","verifyNavBarItems","The navbar contains all items","The navbar contains all items"
"passed","Sat Apr 22 17:45:01 GMT 2023","Sat Apr 22 17:45:15 GMT 2023","13946","","Terms and Conditions Tests","","com.codecool.vizsgaremek.pages.TermsAndConditionsTest","displayTnC","The ""Terms and Conditions"" pop up is displayed","The ""Terms and Conditions"" pop up is displayed"
"passed","Sat Apr 22 17:45:05 GMT 2023","Sat Apr 22 17:45:15 GMT 2023","10173","","Registration and Login Tests","","com.codecool.vizsgaremek.pages.RegistrationAndLoginTest","login","Login is possible","Login is possible"
"passed","Sat Apr 22 17:45:04 GMT 2023","Sat Apr 22 17:45:16 GMT 2023","11142","","Landing page Tests","","com.codecool.vizsgaremek.pages.LandingTest","introductionText","Introduction section has correct spelling","Introduction section has correct spelling"
"passed","Sat Apr 22 17:45:05 GMT 2023","Sat Apr 22 17:45:16 GMT 2023","11270","","Registration and Login Tests","","com.codecool.vizsgaremek.pages.RegistrationAndLoginTest","registration","Registration is possible","Registration is possible"
"passed","Sat Apr 22 17:45:05 GMT 2023","Sat Apr 22 17:45:15 GMT 2023","10491","","Landing page Tests","","com.codecool.vizsgaremek.pages.LandingTest","correctUrl","The correct URL is opened","The correct URL is opened"
"passed","Sat Apr 22 17:45:05 GMT 2023","Sat Apr 22 17:45:16 GMT 2023","11026","","Landing page Tests","","com.codecool.vizsgaremek.pages.LandingTest","logout","The logged in user is able to log out","The logged in user is able to log out"
